,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
737,21.99,46,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)","21,539",4.9,J.K. Rowling,Hardcover,2016
738,9.05,47,10-Day Green Smoothie Cleanse,"32,835",4.7,JJ Smith,Paperback,2016
739,8.47,48,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely","9,506",4.7,Lysa TerKeurst,Paperback,2016
740,16.26,49,The Nightingale: A Novel,"100,066",4.8,Kristin Hannah,Hardcover,2016
741,23.70,50,Harry Potter and the Chamber of Secrets: The Illustrated Edition (Illustrated) (2),"13,332",4.9,J. K. Rowling,Hardcover,2016
742,8.29,51,Fahrenheit 451,"35,015",4.6,Ray Bradbury,Paperback,2016
743,4.98,52,Love You Forever,"53,225",4.9,Robert Munsch,Paperback,2016
744,6.79,53,The Great Gatsby: The Only Authorized Edition,"18,675",4.5,F. Scott Fitzgerald,Paperback,2016
745,20.70,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,,Hardcover,2016
746,20.09,55,All the Light We Cannot See,"67,341",4.6,Anthony Doerr,Hardcover,2016
747,4.55,56,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,,Board book,2016
748,13.29,57,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream","94,833",4.7,Paulo Coelho,Paperback,2016
749,11.89,58,"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer","10,081",4.9,Priscilla Shirer,Paperback,2016
750,25.99,59,The Whistler,"42,344",4.4,John Grisham,Hardcover,2016
751,4.14,60,If Animals Kissed Good Night,"69,596",4.8,Ann Whitford Paul,Board book,2016
752,15.90,61,Cooking for Jeffrey: A Barefoot Contessa Cookbook,"2,408",4.7,Ina Garten,Hardcover,2016
753,11.29,62,"The Trials of Apollo, Book 1: The Hidden Oracle (Trials of Apollo, 1)","9,974",4.7,Rick Riordan,Hardcover,2016
754,4.44,63,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),"5,690",4.5,Rob Elliott,Paperback,2016
755,4.02,64,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,,Hardcover,2016
756,,65,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,"29,699",4.7,Brené Brown,Paperback,2016
757,14.00,66,"Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate","7,694",4.2,Gary J. Byrne,Hardcover,2016
758,5.99,67,First 100 Animals,"9,448",4.8,Roger Priddy,Board book,2016
759,8.49,68,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns","3,138",4.5,Coloring Books for Adults,Paperback,2016
760,5.36,69,Goodnight Moon,"24,855",4.9,Margaret Wise Brown,Board book,2016
761,9.87,70,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","11,624",4.8,Brené Brown,Paperback,2016
762,9.89,71,Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children),"13,225",4.5,Ransom Riggs,Paperback,2016
763,13.63,72,Grit: The Power of Passion and Perseverance,"12,532",4.6,Angela Duckworth,Hardcover,2016
764,14.98,73,Emotional Intelligence 2.0,"10,442",4.5,Travis Bradberry,Hardcover,2016
765,13.50,74,The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,"21,309",4.5,Colson Whitehead,Hardcover,2016
766,9.49,75,The Outsiders,"30,631",4.8,S. E. Hinton,Paperback,2016
767,27.99,76,The Food Lab: Better Home Cooking Through Science,"9,025",4.9,J. Kenji López-Alt,Hardcover,2016
768,18.98,77,Me Before You: A Novel (Movie Tie-In),"1,225",4.6,Jojo Moyes,Paperback,2016
769,4.59,78,Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.9,,Board book,2016
770,9.48,79,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,,Paperback,2016
771,7.99,80,Potty (Leslie Patricelli board books),"12,941",4.7,Leslie Patricelli,Board book,2016
772,20.05,81,"Tools Of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers","7,922",4.7,Timothy Ferriss,Hardcover,2016
773,5.59,82,"First 100 Padded: Numbers, Colors, Shapes","7,037",4.8,Roger Priddy,Hardcover,2016
774,8.08,83,Good Vibes Coloring Book (Coloring is Fun) (Design Originals): 30 Beginner-Friendly & Relaxing Creative Art Activities; Positive Messages & Inspirational Quotes; Perforated Paper Resists Bleed Through,"7,280",4.7,Thaneeya McArdle,Paperback,2016
775,8.97,84,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,"12,581",4.4,Laurel Randolph,Paperback,2016
776,9.99,85,Quieting Your Heart: 6-Month Bible-Study Journal,"1,577",4.5,Darlene Schacht,Paperback,2016
777,9.90,86,The Book with No Pictures,"16,889",4.8,B. J. Novak,Hardcover,2016
778,5.38,87,Creative Haven Owls Coloring Book (Adult Coloring),"5,207",4.7,Marjorie Sarnat,Paperback,2016
779,9.09,88,"Magnus Chase and the Gods of Asgard, Book 2 The Hammer of Thor (Magnus Chase and the Gods of Asgard, Book 2) (Magnus Chase and the Gods of Asgard, 2)","6,476",4.7,Rick Riordan,Hardcover,2016
780,9.99,89,Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,"15,027",4.7,Johanna Basford,Paperback,2016
781,6.98,90,Harry Potter and the Sorcerer's Stone,"5,122",4.8,J.K. Rowling,Paperback,2016
782,8.95,91,Dragons Love Tacos,"15,771",4.8,Adam Rubin,Hardcover,2016
783,22.95,92,D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),Dungeons & Dragons,4.9,,Hardcover,2016
784,7.50,93,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!","6,281",4.6,Tom Robinson,Paperback,2016
785,7.48,94,1984,"72,522",4.7,George Orwell,Mass Market Paperback,2016
786,8.48,95,"The Giver (Giver Quartet, 1)","26,283",4.7,Lois Lowry,Paperback,2016
787,,,,,,,,2016
788,11.29,97,"Thinking, Fast and Slow","29,758",4.6,Daniel Kahneman,Paperback,2016
789,,98,Little Blue Truck board book,"8,204",4.9,Alice Schertle,Board book,2016
790,14.39,99,Harry Potter Coloring Book,"10,139",4.8,Scholastic,Paperback,2016
791,9.19,100,The Day the Crayons Quit,"19,910",4.8,Drew Daywalt,Hardcover,2016
792,9.67,1,Wonder,"35,722",4.8,R. J. Palacio,Hardcover,2017
793,7.38,2,Milk and Honey,"46,454",4.7,Rupi Kaur,Paperback,2017
794,6.90,3,Giraffes Can't Dance,"28,453",4.8,Giles Andreae,Board book,2017
795,14.30,4,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"80,414",4.6,Mark Manson,Hardcover,2017
796,,5,The Getaway,"17,175",4.8,Jeff Kinney,Hardcover,2017
797,8.97,6,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,"12,581",4.4,Laurel Randolph,Paperback,2017
798,9.65,7,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"29,415",4.5,J. D. Vance,Hardcover,2017
799,9.49,8,Astrophysics for People in a Hurry,"20,809",4.7,Neil deGrasse Tyson,Hardcover,2017
800,4.78,9,First 100 Words: A Padded Board Book,"35,259",4.7,Roger Priddy,Board book,2017
801,14.68,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,,Hardcover,2017
802,14.35,11,The Handmaid's Tale,"60,733",4.5,Margaret Atwood,Paperback,2017
803,7.57,12,The 5 Love Languages: The Secret to Love that Lasts,"69,932",4.8,Gary Chapman,Paperback,2017
804,8.45,13,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,"35,429",4.7,Jen Sincero,Paperback,2017
805,9.99,14,What Happened,"6,913",4.6,Hillary Rodham Clinton,Hardcover,2017
806,8.48,15,"Oh, the Places You'll Go!  ","42,891",4.9,Dr. Seuss,Hardcover,2017
807,11.58,16,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,,Hardcover,2017
808,7.48,17,1984,"72,522",4.7,George Orwell,Mass Market Paperback,2017
809,10.50,18,How to Win Friends & Influence People,"79,206",4.7,Dale Carnegie,Paperback,2017
810,13.60,19,Origin: A Novel (Robert Langdon),"36,256",4.4,Dan Brown,Hardcover,2017
811,7.63,20,A Man Called Ove: A Novel,"57,041",4.7,Fredrik Backman,Paperback,2017
812,9.00,21,The Sun and Her Flowers,"16,970",4.8,Rupi Kaur,Paperback,2017
813,5.00,22,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,,Board book,2017
814,7.74,23,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"86,766",4.7,Don Miguel Ruiz,Paperback,2017
815,3.97,24,The Going-To-Bed Book,"15,413",4.8,Sandra Boynton,Board book,2017
816,18.29,25,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2017
817,8.55,26,The Wonderful Things You Will Be,"25,188",4.9,Emily Winfield Martin,Hardcover,2017
818,10.43,27,The Shack: Where Tragedy Confronts Eternity,"23,398",4.7,William P. Young,Paperback,2017
819,8.32,28,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,,Hardcover,2017
820,15.29,29,"Option B: Facing Adversity, Building Resilience, and Finding Joy","3,060",4.5,Sheryl Sandberg,Hardcover,2017
821,22.98,30,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,,Hardcover,2017
822,14.48,31,A Gentleman in Moscow: A Novel,"50,264",4.6,Amor Towles,Hardcover,2017
823,23.49,32,"Publication Manual of the American Psychological Association, 6th Edition","12,677",4.5,American Psychological Association,Paperback,2017
824,5.36,33,Goodnight Moon,"24,855",4.9,Margaret Wise Brown,Board book,2017
825,8.39,34,Thirteen Reasons Why,"13,729",4.5,Jay Asher,Paperback,2017
826,17.91,35,Leonardo da Vinci,"6,543",4.6,Walter Isaacson,Hardcover,2017
827,4.98,36,The Pout-Pout Fish,"23,598",4.9,Deborah Diesen,Board book,2017
828,20.19,37,Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (3),Mr. Jim Kay,4.9,,Hardcover,2017
829,4.14,38,If Animals Kissed Good Night,"69,596",4.8,Ann Whitford Paul,Board book,2017
830,4.55,39,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,,Board book,2017
831,22.95,40,D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),Dungeons & Dragons,4.9,,Hardcover,2017
832,4.93,41,The Very Hungry Caterpillar,"54,087",4.9,Eric Carle,Board book,2017
833,4.02,42,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,,Hardcover,2017
834,4.99,43,Laugh-Out-Loud Jokes for Kids,"10,753",4.6,Rob Elliott,Paperback,2017
835,20.05,44,"Tools Of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers","7,922",4.7,Timothy Ferriss,Hardcover,2017
836,7.99,45,Milk and Vine: Inspirational Quotes From Classic Vines,"6,306",4.5,Adam Gasiewski,Paperback,2017
837,11.00,46,Ready Player One: A Novel,"45,990",4.7,Ernest Cline,Paperback,2017
838,,47,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),"16,142",4.9,Dav Pilkey,Hardcover,2017
839,26.00,48,Obama: An Intimate Portrait,"10,040",4.9,Pete Souza,Hardcover,2017
840,18.39,49,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"9,189",4.7,Stephen R. Covey,Paperback,2017
841,14.59,50,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"21,856",4.6,David Grann,Hardcover,2017
842,9.48,51,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,,Paperback,2017
843,8.47,52,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely","9,506",4.7,Lysa TerKeurst,Paperback,2017
844,9.94,53,Big Little Lies,"32,091",4.6,Liane Moriarty,Paperback,2017
845,,54,The Official SAT Study Guide,"2,346",4.5,The College Board,Paperback,2017
846,13.99,55,The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond,Melissa Hartwig Urban,4.6,,Hardcover,2017
847,11.29,56,"Thinking, Fast and Slow","29,758",4.6,Daniel Kahneman,Paperback,2017
848,7.53,57,"Jesus Calling, Padded Hardcover, with Scripture references","31,205",4.9,Sarah Young,Hardcover,2017
849,12.70,58,What to Expect When You're Expecting,"29,403",4.8,Heidi Murkoff,Paperback,2017
850,12.06,59,The Glass Castle: A Memoir (book),"19,014",4.6,Jeannette Walls,Paperback,2017
851,6.79,60,The Great Gatsby: The Only Authorized Edition,"18,675",4.5,F. Scott Fitzgerald,Paperback,2017
852,12.49,61,The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,"2,495",4.7,Oprah Winfrey,Hardcover,2017
853,5.72,62,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,,Board book,2017
854,12.75,63,The Rooster Bar,"15,401",4.2,John Grisham,Hardcover,2017
855,8.14,64,The Giving Tree,"27,495",4.9,Shel Silverstein,Hardcover,2017
856,10.40,65,She Persisted: 13 American Women Who Changed the World,"3,263",4.8,Chelsea Clinton,Hardcover,2017
857,6.38,66,On Tyranny: Twenty Lessons from the Twentieth Century,"20,342",4.7,Timothy Snyder,Paperback,2017
858,13.29,67,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream","94,833",4.7,Paulo Coelho,Paperback,2017
859,8.29,68,Fahrenheit 451,"35,015",4.6,Ray Bradbury,Paperback,2017
860,13.49,69,Camino Island: A Novel,"23,632",4.3,John Grisham,Hardcover,2017
861,11.34,70,Turtles All the Way Down,"11,391",4.6,John Green,Hardcover,2017
862,,71,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,"29,699",4.7,Brené Brown,Paperback,2017
863,4.98,72,Love You Forever,"53,225",4.9,Robert Munsch,Paperback,2017
864,16.05,73,"The Pioneer Woman Cooks―Come and Get It!: Simple, Scrumptious Recipes for Crazy Busy Lives","4,806",4.8,Ree Drummond,Hardcover,2017
865,8.55,74,Mindset: The New Psychology of Success,"13,934",4.6,Carol S. Dweck,Paperback,2017
866,4.98,75,Where Is Baby's Belly Button? A Lift-the-Flap Book,"12,748",4.8,Karen Katz,Board book,2017
867,19.95,76,Grant,"8,616",4.8,Ron Chernow,Hardcover,2017
868,9.45,77,,833,4.6,,,2017
869,22.49,78,Sapiens: A Brief History of Humankind,"65,833",4.6,Yuval Noah Harari,Hardcover,2017
870,14.29,79,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,"39,295",4.7,Benjamin Graham,Paperback,2017
871,13.79,80,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",Dr. Steven R Gundry  MD,4.4,,Hardcover,2017
872,12.11,81,"The Trials of Apollo Book Two The Dark Prophecy (Trials of Apollo, 2)","8,866",4.8,Rick Riordan,Hardcover,2017
873,8.49,82,"Everything, Everything","6,980",4.7,Nicola Yoon,Paperback,2017
874,12.87,83,Start with Why: How Great Leaders Inspire Everyone to Take Action,"25,689",4.6,Simon Sinek,Paperback,2017
875,15.10,84,Norse Mythology,"16,863",4.7,Neil Gaiman,Hardcover,2017
876,13.46,85,Beneath a Scarlet Sky: A Novel,"66,066",4.7,Mark Sullivan,Paperback,2017
877,,86,Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2),"17,081",4.9,Dav Pilkey,Hardcover,2017
878,10.05,87,Lilac Girls: A Novel (Woolsey-Ferriday),"14,882",4.6,Martha Hall Kelly,Paperback,2017
879,21.99,88,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)","21,539",4.9,J.K. Rowling,Hardcover,2017
880,11.21,89,"Magnus Chase and the Gods of Asgard, Book 3 The Ship of the Dead (Magnus Chase and the Gods of Asgard, Book 3) (Magnus Chase and the Gods of Asgard, 3)","7,029",4.8,Rick Riordan,Hardcover,2017
881,12.97,90,"Al Franken, Giant of the Senate","3,873",4.7,Al Franken,Hardcover,2017
882,16.29,91,Principles: Life and Work,"12,026",4.6,Ray Dalio,Hardcover,2017
883,9.87,92,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","11,624",4.8,Brené Brown,Paperback,2017
884,6.98,93,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,"28,738",4.3,Amy Ramos,Paperback,2017
885,33.90,94,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,,Paperback,2017
886,9.05,95,10-Day Green Smoothie Cleanse,"32,835",4.7,JJ Smith,Paperback,2017
887,11.88,96,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,"24,436",4.7,Dave Ramsey,Hardcover,2017
888,8.95,97,Dragons Love Tacos,"15,771",4.8,Adam Rubin,Hardcover,2017
889,38.86,98,Harry Potter Paperback Box Set (Books 1-7),"91,706",4.9,J. K. Rowling,Paperback,2017
890,15.75,99,Killing England: The Brutal Struggle for American Independence (Bill O'Reilly's Killing Series),"5,685",4.8,Bill O'Reilly,Hardcover,2017
891,12.18,100,"Rosie Revere, Engineer (The Questioneers)","6,388",4.9,Andrea Beaty,Hardcover,2017
892,16.50,1,Becoming,"123,298",4.8,Michelle Obama,Hardcover,2018
893,11.51,2,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","27,339",4.6,Rachel Hollis,Hardcover,2018
894,5.28,3,The Wonky Donkey,"74,778",4.8,Craig Smith,Paperback,2018
895,9.29,4,Fire and Fury: Inside the Trump White House,"17,296",4.2,Michael Wolff,Hardcover,2018
896,27.59,5,Fear: Trump in the White House,"10,324",4.5,Bob Woodward,Hardcover,2018
897,16.99,6,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children’s Book)","15,017",4.9,Jill Twiss,Hardcover,2018
898,18.14,7,12 Rules for Life: An Antidote to Chaos,"58,155",4.8,Jordan B. Peterson,Hardcover,2018
899,16.59,8,Magnolia Table,"32,342",4.8,Joanna Gaines,Hardcover,2018
900,13.49,9,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,"9,935",4.6,The Staff of The Late Show with Stephen Colbert,Hardcover,2018
901,14.30,10,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"80,414",4.6,Mark Manson,Hardcover,2018
902,5.84,11,"A Higher Loyalty: Truth, Lies, and Leadership","8,326",4.7,James Comey,Hardcover,2018
903,6.98,12,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,"28,738",4.3,Amy Ramos,Paperback,2018
904,11.63,13,Diary of a Wimpy Kid #13: Meltdown,"20,291",4.8,Jeff Kinney,Hardcover,2018
905,7.57,14,The 5 Love Languages: The Secret to Love that Lasts,"69,932",4.8,Gary Chapman,Paperback,2018
906,4.78,15,First 100 Words: A Padded Board Book,"35,259",4.7,Roger Priddy,Board book,2018
907,9.17,16,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),"15,757",4.9,Dav Pilkey,Hardcover,2018
908,13.00,17,Educated: A Memoir,"69,478",4.7,Tara Westover,Hardcover,2018
909,8.45,18,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,"35,429",4.7,Jen Sincero,Paperback,2018
910,13.79,19,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",Dr. Steven R Gundry  MD,4.4,,Hardcover,2018
911,6.90,20,Giraffes Can't Dance,"28,453",4.8,Giles Andreae,Board book,2018
912,22.95,21,D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),Dungeons & Dragons,4.9,,Hardcover,2018
913,20.79,22,Homebody: A Guide to Creating Spaces You Never Want to Leave,"10,974",4.8,Joanna Gaines,Hardcover,2018
914,4.93,23,The Very Hungry Caterpillar,"54,087",4.9,Eric Carle,Board book,2018
915,7.89,24,Crazy Rich Asians (Crazy Rich Asians Trilogy),"11,408",4.4,Kevin Kwan,Paperback,2018
916,10.40,25,The Hate U Give,"25,159",4.8,Angie Thomas,Hardcover,2018
917,8.97,26,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,"12,581",4.4,Laurel Randolph,Paperback,2018
918,7.74,27,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"86,766",4.7,Don Miguel Ruiz,Paperback,2018
919,8.55,28,The Wonderful Things You Will Be,"25,188",4.9,Emily Winfield Martin,Hardcover,2018
920,5.72,29,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,,Board book,2018
921,4.98,30,The Pout-Pout Fish,"23,598",4.9,Deborah Diesen,Board book,2018
922,6.99,31,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,"20,378",4.5,Paper Peony Press,Paperback,2018
923,23.49,32,"Publication Manual of the American Psychological Association, 6th Edition","12,677",4.5,American Psychological Association,Paperback,2018
924,5.00,33,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,,Board book,2018
925,8.48,34,"Oh, the Places You'll Go!  ","42,891",4.9,Dr. Seuss,Hardcover,2018
926,,35,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),"15,867",4.9,Dav Pilkey,Hardcover,2018
927,5.36,36,Goodnight Moon,"24,855",4.9,Margaret Wise Brown,Board book,2018
928,16.65,37,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking","20,632",4.8,Samin Nosrat,Hardcover,2018
929,6.99,38,A Wrinkle in Time (Time Quintet),"12,533",4.6,Madeleine L'Engle,Paperback,2018
930,10.50,39,How to Win Friends & Influence People,"79,206",4.7,Dale Carnegie,Paperback,2018
931,9.99,40,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),"18,470",4.9,Dav Pilkey,Hardcover,2018
932,8.70,41,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.,"13,296",4.4,Jennifer Smith,Paperback,2018
933,7.38,42,Milk and Honey,"46,454",4.7,Rupi Kaur,Paperback,2018
934,12.75,43,Little Fires Everywhere,"56,913",4.5,Celeste Ng,Hardcover,2018
935,8.99,44,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),"7,520",4.8,Anthony Bourdain,Paperback,2018
936,14.75,45,The President Is Missing: A Novel,"24,008",4.4,James Patterson,Hardcover,2018
937,5.99,46,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)","66,916",4.8,School Zone,Paperback,2018
938,20.49,47,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free (The Plant Paradox, 2)",Dr. Steven R Gundry  MD,4.4,,Hardcover,2018
939,11.00,48,Ready Player One: A Novel,"45,990",4.7,Ernest Cline,Paperback,2018
940,8.29,49,Fahrenheit 451,"35,015",4.6,Ray Bradbury,Paperback,2018
941,12.48,50,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,"6,920",4.8,Tucker Carlson,Hardcover,2018
942,13.29,51,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream","94,833",4.7,Paulo Coelho,Paperback,2018
943,9.67,52,Wonder,"35,722",4.8,R. J. Palacio,Hardcover,2018
944,7.19,53,To Kill a Mockingbird,"68,927",4.8,Harper Lee,Paperback,2018
945,14.68,54,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,,Hardcover,2018
946,11.29,55,Everybody Always: Becoming Love in a World Full of Setbacks and Difficult People,"6,588",4.8,Bob Goff,Paperback,2018
947,12.63,56,Before We Were Yours: A Novel,"41,227",4.7,Lisa Wingate,Hardcover,2018
948,15.40,57,The Reckoning: A Novel,"21,615",4.2,John Grisham,Hardcover,2018
949,4.55,58,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,,Board book,2018
950,13.46,59,Beneath a Scarlet Sky: A Novel,"66,066",4.7,Mark Sullivan,Paperback,2018
951,12.70,60,What to Expect When You're Expecting,"29,403",4.8,Heidi Murkoff,Paperback,2018
952,16.29,61,Principles: Life and Work,"12,026",4.6,Ray Dalio,Hardcover,2018
953,9.49,62,Astrophysics for People in a Hurry,"20,809",4.7,Neil deGrasse Tyson,Hardcover,2018
954,4.99,63,Laugh-Out-Loud Jokes for Kids,"10,753",4.6,Rob Elliott,Paperback,2018
955,21.99,64,"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease","10,990",4.7,Anthony William,Hardcover,2018
956,,65,The Official SAT Study Guide,"2,346",4.5,The College Board,Paperback,2018
957,4.99,66,Calm the F*ck Down: An Irreverent Adult Coloring Book,"21,072",4.6,Sasha O'Hara,Paperback,2018
958,9.48,67,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,,Paperback,2018
959,14.89,68,The Outsider: A Novel,"25,417",4.6,Stephen King,Hardcover,2018
960,12.39,69,Where the Crawdads Sing,"345,986",4.8,Delia Owens,Hardcover,2018
961,27.97,70,D&D Dungeon Master’s Guide (Dungeons & Dragons Core Rulebook),Wizards RPG,4.9,,Hardcover,2018
962,15.50,71,Sapiens: A Brief History of Humankind,Yuval Harari,4.6,,Paperback,2018
963,4.98,72,Love You Forever,"53,225",4.9,Robert Munsch,Paperback,2018
964,8.95,73,Dragons Love Tacos,"15,771",4.8,Adam Rubin,Hardcover,2018
965,14.18,74,The Woman in the Window: A Novel,"38,273",4.4,A. J. Finn,Hardcover,2018
966,26.90,75,D&D Monster Manual (Dungeons & Dragons Core Rulebook),Wizards RPG,4.9,,Hardcover,2018
967,15.90,76,Simply Keto: A Practical Approach to Health & Weight Loss with 100+ Easy Low-Carb Recipes,"9,485",4.6,Suzanne Ryan,Paperback,2018
968,18.29,77,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2018
969,14.49,78,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),"26,114",4.8,Jocko Willink,Hardcover,2018
970,10.00,79,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,"4,752",4.8,Gregg Jarrett,Hardcover,2018
971,4.99,80,How to Draw 101 Animals (1),"24,668",4.7,Dan Green,Paperback,2018
972,9.00,81,The Sun and Her Flowers,"16,970",4.8,Rupi Kaur,Paperback,2018
973,8.32,82,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,,Hardcover,2018
974,8.94,83,"The Easy 5-Ingredient Ketogenic Diet Cookbook: Low-Carb, High-Fat Recipes for Busy People on the Keto Diet","15,809",4.4,Jen Fisch,Paperback,2018
975,7.00,84,Where Do Diggers Sleep at Night? (Where Do...Series),"13,767",4.8,Brianna Caplan Sayres,Board book,2018
