,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
549,4.99,58,Frozen: A Tale of Two Sisters,"1,123",4.6,Melissa Lagonegro,Paperback,2014
550,10.25,59,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),"9,350",4.9,Rush Limbaugh,Hardcover,2014
551,,60,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,"29,699",4.7,Brené Brown,Paperback,2014
552,62.50,61,Divergent / Insurgent / Allegiant,"3,065",4.7,Veronica Roth,Hardcover,2014
553,8.99,62,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"17,370",4.7,Todd Burpo,Paperback,2014
554,15.66,63,Flash Boys,"6,244",4.6,Michael Lewis,Hardcover,2014
555,9.99,64,Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans,"4,504",4.9,Rush Limbaugh,Hardcover,2014
556,5.00,65,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,,Board book,2014
557,3.97,66,The Going-To-Bed Book,"15,413",4.8,Sandra Boynton,Board book,2014
558,36.64,67,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,"7,646",4.8,George R. R. Martin,Hardcover,2014
559,,68,The Real ACT Prep Guide,ACT,4.4,,Paperback,2014
560,16.21,69,Gray Mountain: A Novel,"28,316",4.1,John Grisham,Hardcover,2014
561,18.45,70,What to Expect When You're Expecting,"29,403",4.8,Heidi Murkoff,Paperback,2014
562,15.79,71,The Jesus Storybook Bible: Every Story Whispers His Name,"11,872",4.9,Sally Lloyd-Jones,Hardcover,2014
563,16.21,72,"Lean In: Women, Work, and the Will to Lead","8,184",4.5,Sheryl Sandberg,Hardcover,2014
564,17.94,73,The Invention of Wings,"19,664",4.7,Sue Monk Kidd,Hardcover,2014
565,5.99,74,Lord of the Flies,"31,864",4.6,William Golding,Mass Market Paperback,2014
566,5.49,75,Night (Night),"8,578",4.7,Elie Wiesel,Paperback,2014
567,8.99,76,The Catcher in the Rye,"30,956",4.5,J.D. Salinger,Mass Market Paperback,2014
568,13.99,77,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",278,4.6,Zhi Gang Sha,Hardcover,2014
569,9.48,78,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,,Paperback,2014
570,17.69,79,"The Skinnytaste Cookbook: Light on Calories, Big on Flavor","8,264",4.7,Gina Homolka,Hardcover,2014
571,8.29,80,Fahrenheit 451,"35,015",4.6,Ray Bradbury,Paperback,2014
572,14.48,81,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","20,113",4.9,Sherri Duskey Rinker,Hardcover,2014
573,7.68,82,Paper Towns,"10,316",4.4,John Green,Paperback,2014
574,7.50,83,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!","6,281",4.6,Tom Robinson,Paperback,2014
575,7.48,84,1984,"72,522",4.7,George Orwell,Mass Market Paperback,2014
576,9.49,85,The Outsiders,"30,631",4.8,S. E. Hinton,Paperback,2014
577,14.86,86,MONEY Master the Game: 7 Simple Steps to Financial Freedom,"10,717",4.6,Tony Robbins,Hardcover,2014
578,5.36,87,Goodnight Moon,"24,855",4.9,Margaret Wise Brown,Board book,2014
579,13.47,88,Quiet: The Power of Introverts in a World That Can't Stop Talking,"20,035",4.6,Susan Cain,Paperback,2014
580,23.00,89,Revival: A Novel,"11,372",4.3,Stephen King,Hardcover,2014
581,6.90,90,Giraffes Can't Dance,"28,453",4.8,Giles Andreae,Board book,2014
582,17.99,91,Minecraft: Redstone Handbook: An Official Mojang Book,Scholastic,4.7,,Hardcover,2014
583,9.99,92,Of Mice and Men,"25,461",4.7,John Steinbeck,Mass Market Paperback,2014
584,25.58,93,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,"32,835",4.7,JJ Smith,Paperback,2014
585,27.87,94,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition","9,898",4.7,Kerry Patterson,Paperback,2014
586,3.99,95,A Day in the Sun (Disney Frozen) (Pictureback(R)),734,4.6,Frank Berrios,Paperback,2014
587,17.10,96,The Giver (Giver Quartet),"26,283",4.7,Lois Lowry,Mass Market Paperback,2014
588,4.59,97,Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.9,,Board book,2014
589,20.00,98,Against All Grain: Delectable Paleo Recipes To Eat Well And Feel Great,"3,350",4.7,Danielle Walker,Paperback,2014
590,18.68,99,Minecraft: Essential Handbook,Stephanie Milton,4.7,,Hardcover,2014
591,16.50,100,Good to Great: Why Some Companies Make the Leap and Others Don't,"5,807",4.5,Jim Collins,Hardcover,2014
592,4.78,1,First 100 Words: A Padded Board Book,"35,259",4.7,Roger Priddy,Board book,2015
593,8.32,2,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,,Hardcover,2015
594,4.99,3,Laugh-Out-Loud Jokes for Kids,"10,753",4.6,Rob Elliott,Paperback,2015
595,9.99,4,Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,"15,027",4.7,Johanna Basford,Paperback,2015
596,18.29,5,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2015
597,17.94,6,Go Set a Watchman: A Novel,"18,596",3.7,Harper Lee,Hardcover,2015
598,12.15,7,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)","8,114",4.7,Johanna Basford,Paperback,2015
599,20.09,8,All the Light We Cannot See,"67,341",4.6,Anthony Doerr,Hardcover,2015
600,14.24,9,The Girl on the Train,"91,541",4.1,Paula Hawkins,Hardcover,2015
601,6.91,10,Adult Coloring Book: Stress Relieving Patterns,"4,255",4.5,Blue Star Coloring,Paperback,2015
602,9.04,11,Diary of a Wimpy Kid #10: Old School,"14,254",4.8,Jeff Kinney,Hardcover,2015
603,17.36,12,To Kill a Mockingbird,"68,927",4.8,Harper Lee,Mass Market Paperback,2015
604,7.99,13,Adult Coloring Book: Stress Relieving Animal Designs,"3,924",4.6,Blue Star Coloring,Paperback,2015
605,8.49,14,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns","3,138",4.5,Coloring Books for Adults,Paperback,2015
606,16.12,15,Humans of New York : Stories,"5,061",4.9,Brandon Stanton,Hardcover,2015
607,10.41,16,The Martian,"51,429",4.7,Andy Weir,Paperback,2015
608,8.48,17,"Oh, the Places You'll Go!  ","42,891",4.9,Dr. Seuss,Hardcover,2015
